task,base_model,expert_model,n_runs,n_per_run,acc_none,acc_retry,acc_route,acc_cascade,delta_retry,delta_route,delta_cascade,intervention_retry,intervention_route,intervention_cascade,cost_none,cost_retry,cost_route,cost_cascade
gsm8k,meta-llama/Meta-Llama-3.1-8B-Instruct,Qwen/Qwen2.5-14B-Instruct,3,200,0.48,0.49500000000000005,0.48,0.49500000000000005,0.015000000000000069,0.0,0.015000000000000069,0.13833333333333334,0.0016666666666666668,0.13833333333333334,1.0,1.6916666666666667,1.0029166666666667,1.6916666666666667
trivia,meta-llama/Meta-Llama-3.1-8B-Instruct,Qwen/Qwen2.5-14B-Instruct,3,200,0.3233333333333333,0.33,0.3233333333333333,0.33,0.00666666666666671,0.0,0.00666666666666671,0.235,0.015,0.24666666666666667,1.0,2.1750000000000003,1.02625,2.1954166666666666
