task,model,n_runs,acc_lenient_mean,acc_lenient_std,format_error_strict_mean,format_error_strict_std,steps_mean_mean,steps_mean_std,auc_surprisal_early_mean,auc_entropy_early_mean,auc_spike_mean
gsm8k,Qwen/Qwen2.5-14B-Instruct,3,0.8044708187538089,0.013101381406332756,0.043333333333333335,0.015456030825826174,52.49666666666667,0.7134112107021826,0.6060723730717786,0.6111181590741831,0.5140359515678498
gsm8k,meta-llama/Meta-Llama-3.1-8B-Instruct,3,0.5712792658022458,0.03047918629964162,0.14666666666666667,0.01247219128924647,48.605,0.2305428376679688,0.6693313689112008,0.6688498315993064,0.5237845138055223
gsm8k,mistralai/Mistral-7B-Instruct-v0.3,3,0.24757151022184798,0.027285369906319662,0.9049999999999999,0.010801234497346443,59.63666666666666,0.6550360465060069,0.7135875857083516,0.741439769933879,0.5
trivia,Qwen/Qwen2.5-14B-Instruct,3,0.4156951423785595,0.020436073803928315,0.5083333333333333,0.016996731711975965,15.776666666666666,0.12545472844372524,0.7272003620850022,0.7498878585670937,0.6978505122544858
trivia,meta-llama/Meta-Llama-3.1-8B-Instruct,3,0.3233333333333333,0.01433720877840439,0.6983333333333333,0.04365266951236264,23.853333333333335,1.1447440276712024,0.5919418641117999,0.7055343180230721,0.5
trivia,mistralai/Mistral-7B-Instruct-v0.3,3,0.5246992003251209,0.02243890700972743,0.8966666666666666,0.012472191289246483,25.57166666666667,0.30028689985116186,0.3195277708377165,0.35312058940844376,0.5265899315052481
wiki,Qwen/Qwen2.5-14B-Instruct,3,nan,nan,0.0,0.0,143.49166666666667,4.760576529044449,nan,nan,nan
wiki,meta-llama/Meta-Llama-3.1-8B-Instruct,3,nan,nan,0.0,0.0,132.685,1.7497999885701272,nan,nan,nan
wiki,mistralai/Mistral-7B-Instruct-v0.3,3,nan,nan,0.0,0.0,151.26833333333332,3.60318686103782,nan,nan,nan
